

﻿ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1"
12,simple,,Gyudon,1,0,visible,"O gyudon é um prato composto basicamente por carne, cebola e arroz. No bowl você recebe uma porção de arroz coberta pela carne acebolada e a degustação pode ser feita pela sua escolha, começando pela carne ou misturando os dois.",,,,taxable,,1,,,0,0,,,,,1,,,"68,95",Japonesa,,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/gyudon.jpg,,,,,,,,,0,,,,
37,simple,,Udon,1,0,visible,"O preparo do udon varia de onde você o saboreia, mas existem elementos que não mudam. O macarrão é servido quente ou frio e a intensidade do caldo pode ser mais forte ou mais fraca e os “toppings” podem ser acrescentados a gosto. Outra forma comum de servir o prato é apresentando o macarrão cozido com um pouco da água do cozimento e, separadamente, o molho mais concentrado para mergulhar os fios antes de comê-los.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Japonesa,,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/udon.jpg,,,,,,,,,0,,,,
38,simple,,Lamen,1,0,visible,"Lamén não é miojo. O prato quente é feito com macarrão, caldo, legumes, carne de porco, ovo e cebolinha. Existem variações dos “toppings”, que podem ser legumes, alguma carne, ovo etc. De uma coisa você pode ter certeza, o bowl com caldo e macarrão é sempre uma opção deliciosa. O prato está começando a ganhar visibilidade no Brasil, mas ainda deixa muita gente surpresa ao descobrir que não se trata de um simples miojo.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Japonesa,,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/lamen.jpg,,,,,,,,,0,,,,
39,simple,,Yakitori,1,0,visible,"Yakitori, que significa ""pássaro grelhado"", não é particularmente atraente por causa de seu nome. Na verdade, é um espetos de frango grelhado. Eles podem ser cozidos com sal ou sem tempero adicionando um molho no final do cozimento ou no momento da degustação. Mordiscado ou acompanhado de legumes, não deixe de experimentar o yakitori durante a sua imersão na cultura japonesa.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Japonesa,,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Yakitori.webp,,,,,,,,,0,,,,
40,variable,,Miso,1,0,visible,"Pasta de soja, usada como alimento ou tempero. Tradicionalmente, uma mulher japonesa deve saber preparar sopa de miso para se casar.",,,,taxable,,1,,,0,0,,,,,1,,,,Japonesa,Segunda,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Miso.webp,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
41,simple,,"Coroa de carbonara com camembert",1,0,visible,"A coroa mais famosa do mundo pode estar na Inglaterra com a Rainha, mas a mais deliciosa com certeza vem desta mistura de Itália com França. Fronteira nenhuma poderia separar estas duas coisas que parecem ter sido feitas uma para a outra: espaguete carbonara e queijo camembert.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Massas,Terça,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Coroa-de-carbonara-com-camembert.jpg,,,,,,,,,0,,,,
42,simple,,"Sanduíche de espaguete e almôndegas",1,0,visible,"Espaguete com almôndegas é um dos pratos mais apreciados de sempre.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Massas,"Quarta, Sexta",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Sanduiche-de-espaguete-e-almondegas.jpg,,,,,,,,,0,,,,
43,simple,,"Pão de espaguete",1,0,visible,"Pode ser ilegal em partes da Itália juntar pizza, pão e espaguete em um único prato, mas como os maratonistas entre nós sabem que às vezes precisamos de sustância. E como as pessoas sensíveis entre nós sabem, às vezes precisamos de uma comida reconfortante.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Massas,Domingo,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Pao-de-espaguete.jpg,,,,,,,,,0,,,,
45,simple,,Calzone,1,0,visible,"O calzone é um prato típico italiano, que pode ser também conhecido como pizza recheada. Ele é excelente tanto para almoços e jantares, como pode servir como uma forma de petisco em uma reunião de amigos. Essa receita conta com apenas 6 ingredientes para fazer a massa. Quanto ao recheio, invista em carne, frango e até de queijo, o sabor é esplêndido! A massa é super fácil de ser preparada, então fique tranquilo que o sucesso é garantido.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Massas,"Quinta, Sexta",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/calzone.jpg,,,,,,,,,0,,,,
46,variable,,"Salada de Macarrão com Queijo e Bacon",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Massas,Terça,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/salada-de-macarrao-com-queijo-bacon.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
